Strain	Time	Count 	Dilution	CFU/ml	Experiment
WHO_L	8	4	10	4.00E+03	3
WHO_M	8	12	100	1.20E+05	3
WHO_N	8	15	100	1.50E+05	3
WHO_O	8	7	100	7.00E+04	3
WHO_P	8	7	100	7.00E+04	3
F89	8	5	100	5.00E+04	3
AZ-HLR	8	7	100	7.00E+04	3
ATCC49226	8	5	100	5.00E+04	3
WHO_A	10	25	100	2.50E+05	3
WHO_F	10	19	100	1.90E+05	3
WHO_G	10	4	1000	4.00E+05	3
WHO_K	10	5	100	5.00E+04	3
WHO_L	10	14	100	1.40E+05	3
WHO_M	10	18	100	1.80E+05	3
WHO_N	10	26	100	2.60E+05	3
WHO_O	10	5	1000	5.00E+05	3
WHO_P	10	12	1000	1.20E+06	3
F89	10	4	1000	4.00E+05	3
AZ-HLR	10	13	100	1.30E+05	3
ATCC49226	10	4	1000	4.00E+05	3
WHO_A	12	5	10000	5.00E+06	3
WHO_F	12	9	10000	9.00E+06	3
WHO_G	12	9	10000	9.00E+06	3
WHO_K	12	3	10000	3.00E+06	3
WHO_L	12	10	100	1.00E+05	3
WHO_M	12	21	1000	2.10E+06	3
WHO_N	12	10	1000	1.00E+06	3
WHO_O	12	9	1000	9.00E+05	3
WHO_P	12	6	1000	6.00E+05	3
F89	12	8	1000	8.00E+05	3
AZ-HLR	12	6	1000	6.00E+05	3
ATCC49226	12	12	1000	1.20E+06	3
WHO_A	20	11	100000	1.10E+08	3
WHO_F	20	10	100000	1.00E+08	3
WHO_G	20	28	100000	2.80E+08	3
WHO_K	20	12	100000	1.20E+08	3
WHO_L	20	7	10000	7.00E+06	3
WHO_M	20	25	100000	2.50E+08	3
WHO_N	20	21	10000	2.10E+07	3
WHO_O	20	16	100000	1.60E+08	3
WHO_P	20	8	100000	8.00E+07	3
F89	20	16	100000	1.60E+08	3
AZ-HLR	20	18	100000	1.80E+08	3
ATCC49226	20	17	100000	1.70E+08	3
WHO_A	22	19	100000	1.90E+08	3
WHO_F	22	27	100000	2.70E+08	3
WHO_G	22	25	100000	2.50E+08	3
WHO_K	22	25	100000	2.50E+08	3
WHO_L	22	6	10000	6.00E+06	3
WHO_M	22	14	100000	1.40E+08	3
WHO_N	22	12	100000	1.20E+08	3
WHO_O	22	7	1000000	7.00E+08	3
WHO_P	22	7	1000000	7.00E+08	3
F89	22	4	1000000	4.00E+08	3
AZ-HLR	22	6	1000000	6.00E+08	3
ATCC49226	22	10	1000000	1.00E+09	3
WHO_A	24	16	100000	1.60E+08	3
WHO_F	24	10	1000000	1.00E+09	3
WHO_G	24	14	1000000	1.40E+09	3
WHO_K	24	22	100000	2.20E+08	3
WHO_L	24	22	10000	2.20E+07	3
WHO_M	24	9	100000	9.00E+07	3
WHO_N	24	12	100000	1.20E+08	3
WHO_O	24	5	1000000	5.00E+08	3
WHO_P	24	8	1000000	8.00E+08	3
F89	24	12	1000000	1.20E+09	3
AZ-HLR	24	8	1000000	8.00E+08	3
ATCC49226	24	4	1000000	4.00E+08	3
WHO_A	26	16	100000	1.60E+08	3
WHO_F	26	9	10000000	9.00E+09	3
WHO_G	26	22	10000000	2.20E+10	3
WHO_K	26	12	1000000	1.20E+09	3
WHO_L	26	14	10000	1.40E+07	3
WHO_M	26	21	1000000	2.10E+09	3
WHO_N	26	4	10000000	4.00E+09	3
WHO_O	26	19	1000000	1.90E+09	3
WHO_P	26	22	100000	2.20E+08	3
F89	26	20	1000000	2.00E+09	3
AZ-HLR	26	18	1000000	1.80E+09	3
ATCC49226	26	17	1000000	1.70E+09	3
WHO_A	28	22	1000000	2.20E+09	3
WHO_F	28	18	10000000	1.80E+10	3
WHO_G	28	4	10000000	4.00E+09	3
WHO_K	28	28	1000000	2.80E+09	3
WHO_L	28	9	100000	9.00E+07	3
WHO_M	28	12	1000000	1.20E+09	3
WHO_N	28	33	1000000	3.30E+09	3
WHO_O	28	22	10000000	2.20E+10	3
WHO_P	28	4	1000000	4.00E+08	3
F89	28	9	1000000	9.00E+08	3
AZ-HLR	28	21	1000000	2.10E+09	3
ATCC49226	28	9	1000000	9.00E+08	3
WHO_A	30	14	1000000	1.40E+09	3
WHO_F	30	13	10000000	1.30E+10	3
WHO_G	30	13	10000000	1.30E+10	3
WHO_K	30	6	1000000	6.00E+08	3
WHO_L	30	19	100000	1.90E+08	3
WHO_M	30	4	1000000	4.00E+08	3
WHO_N	30	19	10000000	1.90E+10	3
